stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
IETC:1,MTD1412,I.E.T.C. (West Side),,40.12976667,-88.27802667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ietc,0,
STEBRCH:4,MTD0523,State & Birch (NW Corner),,40.09998167,-88.24673833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/stebrch,0,
WDSR:2,MTD7332,Windsor Rd. (North Side),,40.08381167000001,-88.27911,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wdsr,0,
MNENIS:1,MTD6306,Main & Ennis (North Side),,40.11255833,-88.17149833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnenis,0,
WNCHBKTRN:4,MTD7471,Winchester & Blackthorn (NW Corner),,40.08858,-88.28160667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/wnchbktrn,0,
JOHNDRPR:1,MTD5514,John & Draper (NE Corner),,40.10899667000001,-88.27002666999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johndrpr,0,
GRNRACE:4,MTD2303,Green & Race (NW Corner),,40.11094667,-88.20897832999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/grnrace,0,
JOHNRSL:3,MTD1322,John & Russell (SW Corner),,40.108905,-88.26739166999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johnrsl,0,
BNTBRKGLFCRK:2,MTD1656,Bentbrook & Golf Creek (East Side),,40.09330167,-88.31125667,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/bntbrkglfcrk,0,
IU:2,MTD2115,Illini Union (Engineering Side),,40.11044667,-88.22740167,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/iu,0,
KERDVSION:3,MTD9116,Kerr & Division (South Side),,40.12195,-88.205361,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/kerdvsion-3,0,
ANTMATS:2,MTD5742,Anthony & Mattis (SE Corner),,40.14308667,-88.27727,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/antmats,0,
ARC:1,MTD5762,ARC (South Side),,40.10140228271485,-88.23602294921874,2,http://www.cumtd.com/maps-and-schedules/bus-stops/info/arc,0,
NEILERKA:4,MTD0546,Neil & Eureka (NW Corner),,40.12498,-88.24365833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/neilerka,0,
URBMEIJ:2,MTD5053,Urbana Meijer (North Side),,40.087434,-88.188519,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/urbmeij,0,
CHHLLKVW:1,MTD5631,Cherry Hills & Lakeview (NE Corner),,40.08177,-88.29149099999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chhllkvw,0,
ANTAMRN:2,MTD8437,Anthony at Ameren (North Side),,40.13656333,-88.22424332999998,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/ip,0,
RNDLFVIN:8,MTD7567,Randolph & Vine (NW Far Side),,40.12214333,-88.24558833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rndlfvin,0,
JOHNGRFLD:1,MTD1532,John & Garfield (NE Corner),,40.10897333,-88.26856333,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/johngrfld,0,
VINSRTS:2,MTD0336,Vine & Shurts (SE Corner),,40.08590167,-88.20217833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/vinsrts,0,
CSQRKNCH:3,MTD6556,Country Squire & Kinch (SW Corner),,40.10246333,-88.18153833,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/csqrknch,0,
CHHLCPRTRE:3,MTD5312,Cherry Hills & Coppertree (SW Corner),,40.08173,-88.29065,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/chhlcprtre,0,
RNDLFSPFLD:5,MTD1222,Randolph & Springfield (NE Far Side),,40.11298167000001,-88.245075,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/rndlfspfld,0,
MNSMITH:4,MTD4421,Main & Smith (NW Corner),,40.11309167000001,-88.1785,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/mnsmith,0,
CBLFLDGLNBRK:2,MTD3159,Cobblefield & Glenn Brooke (SE Corner),,40.102609,-88.309078,1,http://www.cumtd.com/maps-and-schedules/bus-stops/info/cblfldglnbrk,0,
